종로1번지아케이드,서울특별시 종로구 종로 1 (종로1가),전문점,02-397-3511
영풍문고,서울특별시 종로구 청계천로 41 (서린동),대형마트,02-399-5641
동대문종합시장,서울특별시 종로구 종로 266 (종로6가),그 밖의 대규모점포,02-2262-0209
동대문종합시장 신관,서울특별시 종로구 종로 272 (종로6가),그 밖의 대규모점포,02-2262-0209
광장시장,서울특별시 종로구 창경궁로 88 (예지동),시장,02-2267-0291
동문시장,서울특별시 종로구 종로44길 14 (창신동),시장,02-764-4766
신설종합시장,서울특별시 종로구 난계로27길51(숭인동),그 밖의 대규모점포,02-2234-7151
국일관드림팰리스,서울특별시 종로구 수표로 96(관수동),그 밖의 대규모점포,02-2279-0798
동대문종합시장D동상가,서울특별시 종로구 종로 266 동대문종합시장D동상가  동 (종로6가),그 밖의 대규모점포,02-2279-8751
효성주얼리시티,서울특별시 종로구 종로 183 효성주얼리시티 (인의동),그 밖의 대규모점포,02-6744-4353
브라운스톤 창신상가,서울특별시 종로구 지봉로 81 브라운스톤 창신 (창신동),그 밖의 대규모점포,02-763-2823
세운스퀘어,서울특별시 종로구 창경궁로 109 (인의동),그 밖의 대규모점포,02-2174-7002
낙원상가,서울특별시 종로구 삼일대로 428 낙원상가 (낙원동),그 밖의 대규모점포,02-743-4200
