(주)베이징코야,율곡로2길 29-1  지하1층 (수송동),중식,북경오리
(주)석파랑,자하문로 309  1층 (홍지동),한식,한정식
감촌,종로 19  5층 511호 일부  512호 (종로1가),한식,순두부
고창선운사풍천장어금정,대학로2길 38 (종로5가),한식,장어구이
궁나라냉면.묵밥,지봉로12길 6  1층 (숭인동),한식,"냉면,묵밥"
금해 복집,진흥로 461  1 2층 (구기동),일식,활지리
김가네대청마루,인사동4길 17 (경운동),한식,돼지갈비
나무향기,세종대로23길 47  1층 108호 (당주동),한식,오리통삼겹 장작구이
나주곰탕,지봉로 26-1  1층 (숭인동),한식,곰탕
남대문막내횟집,우정국로 4-1 (관철동),일식,회
눈나무집,삼청로 136-1  1 2 3층 (삼청동),한식,"떡갈비,김치말이국수"
뉘조,인사동14길 27  1층 (관훈동),한식,한정식
늘마중,인사동8길 16-1 (관훈동),한식,한정식
다솔,종로5길 68  지하1층 (수송동),한식,누룽지탕
대가곱창,명륜길 53 (명륜3가),한식,곱창
대륙,종로 127-2 (종로3가),중식,자장면
대송,자하문로 34 (통의동),한식,한정식
대평갈비,평창문화로 83  지상2 3층 (평창동),한식,한방갈비탕
더레스토랑,삼청로 54  1 2 3층 (소격동),양식,스테이크
동원참치,인사동7길 37  지하1층 (관훈동),일식,회덮밥
된장예술과 술,대학로11길 9-2  1 2층 (명륜4가),한식,된장정식
두레유,평창30길 28 (평창동),한식,한정식
들풀식당,자하문로 118 (청운동),한식,한정식
마산아구찜,자하문로 18-1  2층 (통의동),한식,아구찜
마실,종로 384 (숭인동),한식,불고기
만가,사직로 103-19 (필운동),한식,"장어, 생등심"
명원숯불갈비,통일로12길 8 (행촌동),한식,돼지갈비
명작 신의주 찹쌀순대,사직로8길 4 (사직동),한식,순대국
무교삼계탕,인사동7길 37 (관훈동),한식,삼계탕
박가네,종로32길 7  2층 (종로5가),한식,빈대떡
박가네빈대떡 2호점,"동호로 403-16 1~2층 (종로5가)",한식,육회
박광일 참치 앤 스시,"자하문로 26-1 지상1~지상3층 (통의동)",일식,참치회
박보연 간장게장과삼겹살,종로5길 42-5 (청진동),한식,게장
별미삼청수제비,삼청로 101-1 (삼청동),한식,수제비
본고향맛집,지봉로 16 (숭인동 1층),한식,한정식
사동면옥,인사동8길 9 (관훈동),한식,"도가니탕,냉면"
